"id","title","author","genre","year","avg_rating","rating_count","popularity"
"1","The Pragmatic Programmer","Andrew Hunt","Programming","1999","4.7","121","241"
"2","Clean Code","Robert C. Martin","Programming","2008","4.6","110","210"
"3","1984","George Orwell","Fiction","1949","4.5","95","180"
"4","Dune","Frank Herbert","Science Fiction","1965","4.8","130","260"
"5","Atomic Habits","James Clear","Self Help","2018","4.6","140","300"
"6","The Hobbit","J.R.R. Tolkien","Fantasy","1937","4.7","150","320"
"7","Deep Work","Cal Newport","Productivity","2016","4.4","81","161"
"8","The Alchemist","Paulo Coelho","Fiction","1988","4.2","90","170"
"9","C++ Primer","Stanley B. Lippman","Programming","2012","4.5","70","130"
"10","Harry Potter and the Sorcerer's Stone","J.K. Rowling","Fantasy","1997","4.8","160","350"
"11","The Hunger Games (The Hunger Games, #1)","Suzanne Collins","Science Fiction","2008","4.34","4780653","4780653"
"12","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling","Fantasy","1997","4.44","4602479","4602479"
"13","Twilight (Twilight, #1)","Stephenie Meyer","Fiction","2005","3.57","3866839","3866839"
"14","To Kill a Mockingbird","Harper Lee","Fiction","1960","4.25","3198671","3198671"
"15","The Great Gatsby","F. Scott Fitzgerald","Fiction","1925","3.89","2683664","2683664"
"16","The Fault in Our Stars","John Green","Fiction","2012","4.26","2346404","2346404"
"17","The Catcher in the Rye","J.D. Salinger","Fiction","1951","3.79","2044241","2044241"
"18","Angels & Demons  (Robert Langdon, #1)","Dan Brown","Fiction","2000","3.85","2001311","2001311"
"19","Pride and Prejudice","Jane Austen","Romance","1813","4.24","2035490","2035490"
"20","The Kite Runner","Khaled Hosseini","Fiction","2003","4.26","1813044","1813044"
"21","Divergent (Divergent, #1)","Veronica Roth","Science Fiction","2011","4.24","1903563","1903563"
"22","Animal Farm","George Orwell","Fiction","1945","3.87","1881700","1881700"
"23","The Diary of a Young Girl","Anne Frank","Biography","1947","4.1","1972666","1972666"
"24","The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson","Fantasy","2005","4.11","1808403","1808403"
"25","Catching Fire (The Hunger Games, #2)","Suzanne Collins","Science Fiction","2009","4.3","1831039","1831039"
"26","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling","Fantasy","1999","4.53","1832823","1832823"
"27","The Fellowship of the Ring (The Lord of the Rings, #1)","J.R.R. Tolkien","Fantasy","1954","4.34","1766803","1766803"
"28","Mockingjay (The Hunger Games, #3)","Suzanne Collins","Science Fiction","2010","4.03","1719760","1719760"
"29","Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling","Fantasy","2003","4.46","1735368","1735368"
"30","The Lovely Bones","Alice Sebold","Romance","2002","3.77","1605173","1605173"
"31","Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling","Fantasy","1998","4.37","1779331","1779331"
"32","Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling","Fantasy","2000","4.53","1753043","1753043"
"33","Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling","Fantasy","2007","4.61","1746574","1746574"
"34","The Da Vinci Code (Robert Langdon, #2)","Dan Brown","Programming","2003","3.79","1447148","1447148"
"35","Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling","Fantasy","2005","4.54","1678823","1678823"
"36","Lord of the Flies","William Golding","Fiction","1954","3.64","1605019","1605019"
"37","Romeo and Juliet","William Shakespeare","Fiction","1595","3.73","1628519","1628519"
