"user_id","book_id","score"
"1","1","5"
"1","2","4"
"1","9","5"
"2","4","4"
"2","6","5"
"2","10","5"
"3","3","5"
"3","8","4"
"4","7","4"
"6","1","5"
"7","7","4"
"7","142","4"
"7","203","5"
"7","214","3"
"7","330","4"
"7","384","5"
"7","409","3"
"7","423","3"
"7","446","2"
"7","479","4"
"7","485","3"
"7","493","5"
"7","553","4"
"7","589","3"
"7","604","3"
"7","658","5"
"7","774","3"
"8","1","5"
"8","2","3"
"8","4","5"
"8","9","3"
"8","21","4"
"8","25","3"
"8","28","4"
"8","34","5"
"8","55","3"
"8","77","3"
"8","118","2"
"8","169","4"
"8","211","3"
"8","565","2"
"8","598","2"
"8","642","2"
"8","644","5"
"8","649","2"
"8","670","4"
"8","886","3"
"8","897","5"
"8","921","4"
"8","955","4"
"8","976","2"
"9","7","3"
"9","72","4"
"9","79","4"
"9","83","4"
"9","109","5"
"9","249","4"
"9","407","2"
"9","419","4"
"9","440","2"
"9","458","3"
"9","463","3"
"9","511","4"
"9","550","3"
"9","570","4"
"9","704","5"
"9","771","3"
"9","778","2"
"9","824","3"
"9","834","4"
"9","910","3"
"10","1","5"
"10","2","4"
"10","7","4"
"10","9","5"
"10","34","4"
"10","38","5"
"10","42","5"
"10","51","3"
"10","68","3"
"10","224","3"
"10","263","5"
"10","342","3"
"10","343","3"
"10","404","5"
"10","480","4"
"10","508","3"
"10","679","5"
"10","793","4"
"11","5","2"
"11","12","4"
"11","44","4"
"11","95","3"
"11","138","4"
"11","190","2"
"11","214","4"
"11","268","5"
"11","278","3"
"11","337","2"
"11","358","3"
"11","381","4"
"11","413","4"
"11","455","2"
"11","467","3"
"11","478","2"
"11","544","3"
"11","589","4"
"11","653","2"
"11","684","2"
"11","907","3"
"11","917","2"
"11","921","2"
"11","924","4"
"11","997","3"
"12","27","5"
"12","38","5"
"12","68","3"
"12","77","4"
"12","199","5"
"12","214","2"
"12","224","5"
"12","343","5"
"12","391","3"
"12","400","4"
"12","406","4"
"12","457","3"
"12","480","3"
"12","508","3"
"12","569","4"
"12","589","2"
"12","679","3"
"12","709","3"
"12","837","4"
"12","916","4"
"12","967","5"
"12","982","5"
"13","27","4"
"13","38","5"
"13","46","3"
"13","47","4"
"13","51","3"
"13","68","5"
"13","89","5"
"13","138","3"
"13","159","2"
"13","178","4"
"13","206","3"
"13","224","4"
"13","265","5"
"13","343","5"
"13","404","3"
"13","419","2"
"13","480","5"
"13","508","5"
"13","535","4"
"13","559","4"
"13","569","5"
"13","600","4"
"13","629","3"
"13","701","2"
"13","813","4"
"13","938","5"
"13","967","4"
